EpochNum,StartTime,EndTime,BinaryLabels
306,2018-11-13 13:51:48,2018-11-13 13:51:53,1.0
307,2018-11-13 13:51:53,2018-11-13 13:51:58,-1.0
308,2018-11-13 13:51:58,2018-11-13 13:52:03,1.0
309,2018-11-13 13:52:03,2018-11-13 13:52:08,1.0
310,2018-11-13 13:52:08,2018-11-13 13:52:13,1.0
311,2018-11-13 13:52:13,2018-11-13 13:52:18,1.0
312,2018-11-13 13:52:18,2018-11-13 13:52:23,1.0
313,2018-11-13 13:52:23,2018-11-13 13:52:28,1.0
314,2018-11-13 13:52:28,2018-11-13 13:52:33,1.0
315,2018-11-13 13:52:33,2018-11-13 13:52:38,1.0
316,2018-11-13 13:52:38,2018-11-13 13:52:43,1.0
317,2018-11-13 13:52:43,2018-11-13 13:52:48,1.0
318,2018-11-13 13:52:48,2018-11-13 13:52:53,1.0
319,2018-11-13 13:52:53,2018-11-13 13:52:58,1.0
320,2018-11-13 13:52:58,2018-11-13 13:53:03,1.0
321,2018-11-13 13:53:03,2018-11-13 13:53:08,1.0
322,2018-11-13 13:53:08,2018-11-13 13:53:13,1.0
323,2018-11-13 13:53:13,2018-11-13 13:53:18,1.0
324,2018-11-13 13:53:18,2018-11-13 13:53:23,1.0
325,2018-11-13 13:53:23,2018-11-13 13:53:28,1.0
326,2018-11-13 13:53:28,2018-11-13 13:53:33,1.0
327,2018-11-13 13:53:33,2018-11-13 13:53:38,1.0
328,2018-11-13 13:53:38,2018-11-13 13:53:43,1.0
329,2018-11-13 13:53:43,2018-11-13 13:53:48,1.0
330,2018-11-13 13:53:48,2018-11-13 13:53:53,1.0
331,2018-11-13 13:53:53,2018-11-13 13:53:58,1.0
332,2018-11-13 13:53:58,2018-11-13 13:54:03,-1.0
333,2018-11-13 13:54:03,2018-11-13 13:54:08,1.0
334,2018-11-13 13:54:08,2018-11-13 13:54:13,1.0
335,2018-11-13 13:54:13,2018-11-13 13:54:18,1.0
336,2018-11-13 13:54:18,2018-11-13 13:54:23,1.0
337,2018-11-13 13:54:23,2018-11-13 13:54:28,1.0
338,2018-11-13 13:54:28,2018-11-13 13:54:33,1.0
339,2018-11-13 13:54:33,2018-11-13 13:54:38,1.0
340,2018-11-13 13:54:38,2018-11-13 13:54:43,1.0
341,2018-11-13 13:54:43,2018-11-13 13:54:48,1.0
342,2018-11-13 13:54:48,2018-11-13 13:54:53,1.0
343,2018-11-13 13:54:53,2018-11-13 13:54:58,1.0
344,2018-11-13 13:54:58,2018-11-13 13:55:03,1.0
345,2018-11-13 13:55:03,2018-11-13 13:55:08,1.0
346,2018-11-13 13:55:08,2018-11-13 13:55:13,1.0
347,2018-11-13 13:55:13,2018-11-13 13:55:18,1.0
348,2018-11-13 13:55:18,2018-11-13 13:55:23,1.0
349,2018-11-13 13:55:23,2018-11-13 13:55:28,1.0
350,2018-11-13 13:55:28,2018-11-13 13:55:33,1.0
351,2018-11-13 13:55:33,2018-11-13 13:55:38,1.0
352,2018-11-13 13:55:38,2018-11-13 13:55:43,1.0
353,2018-11-13 13:55:43,2018-11-13 13:55:48,1.0
354,2018-11-13 13:55:48,2018-11-13 13:55:53,1.0
355,2018-11-13 13:55:53,2018-11-13 13:55:58,1.0
356,2018-11-13 13:55:58,2018-11-13 13:56:03,1.0
357,2018-11-13 13:56:03,2018-11-13 13:56:08,1.0
358,2018-11-13 13:56:08,2018-11-13 13:56:13,1.0
359,2018-11-13 13:56:13,2018-11-13 13:56:18,1.0
360,2018-11-13 13:56:18,2018-11-13 13:56:23,1.0
361,2018-11-13 13:56:23,2018-11-13 13:56:28,1.0
362,2018-11-13 13:56:28,2018-11-13 13:56:33,1.0
363,2018-11-13 13:56:33,2018-11-13 13:56:38,1.0
364,2018-11-13 13:56:38,2018-11-13 13:56:43,1.0
365,2018-11-13 13:56:43,2018-11-13 13:56:48,1.0
366,2018-11-13 13:56:48,2018-11-13 13:56:53,1.0
367,2018-11-13 13:56:53,2018-11-13 13:56:58,1.0
368,2018-11-13 13:56:58,2018-11-13 13:57:03,1.0
369,2018-11-13 13:57:03,2018-11-13 13:57:08,1.0
370,2018-11-13 13:57:08,2018-11-13 13:57:13,1.0
371,2018-11-13 13:57:13,2018-11-13 13:57:18,1.0
372,2018-11-13 13:57:18,2018-11-13 13:57:23,1.0
373,2018-11-13 13:57:23,2018-11-13 13:57:28,1.0
374,2018-11-13 13:57:28,2018-11-13 13:57:33,1.0
375,2018-11-13 13:57:33,2018-11-13 13:57:38,1.0
376,2018-11-13 13:57:38,2018-11-13 13:57:43,1.0
377,2018-11-13 13:57:43,2018-11-13 13:57:48,1.0
378,2018-11-13 13:57:48,2018-11-13 13:57:53,1.0
379,2018-11-13 13:57:53,2018-11-13 13:57:58,1.0
380,2018-11-13 13:57:58,2018-11-13 13:58:03,1.0
381,2018-11-13 13:58:03,2018-11-13 13:58:08,1.0
382,2018-11-13 13:58:08,2018-11-13 13:58:13,1.0
383,2018-11-13 13:58:13,2018-11-13 13:58:18,1.0
384,2018-11-13 13:58:18,2018-11-13 13:58:23,1.0
385,2018-11-13 13:58:23,2018-11-13 13:58:28,1.0
386,2018-11-13 13:58:28,2018-11-13 13:58:33,1.0
387,2018-11-13 13:58:33,2018-11-13 13:58:38,1.0
388,2018-11-13 13:58:38,2018-11-13 13:58:43,1.0
389,2018-11-13 13:58:43,2018-11-13 13:58:48,1.0
390,2018-11-13 13:58:48,2018-11-13 13:58:53,1.0
391,2018-11-13 13:58:53,2018-11-13 13:58:58,1.0
392,2018-11-13 13:58:58,2018-11-13 13:59:03,1.0
393,2018-11-13 13:59:03,2018-11-13 13:59:08,1.0
394,2018-11-13 13:59:08,2018-11-13 13:59:13,1.0
395,2018-11-13 13:59:13,2018-11-13 13:59:18,1.0
396,2018-11-13 13:59:18,2018-11-13 13:59:23,1.0
397,2018-11-13 13:59:23,2018-11-13 13:59:28,1.0
398,2018-11-13 13:59:28,2018-11-13 13:59:33,1.0
399,2018-11-13 13:59:33,2018-11-13 13:59:38,1.0
400,2018-11-13 13:59:38,2018-11-13 13:59:43,1.0
401,2018-11-13 13:59:43,2018-11-13 13:59:48,1.0
402,2018-11-13 13:59:48,2018-11-13 13:59:53,1.0
403,2018-11-13 13:59:53,2018-11-13 13:59:58,1.0
404,2018-11-13 13:59:58,2018-11-13 14:00:03,1.0
405,2018-11-13 14:00:03,2018-11-13 14:00:08,1.0
406,2018-11-13 14:00:08,2018-11-13 14:00:13,1.0
407,2018-11-13 14:00:13,2018-11-13 14:00:18,1.0
408,2018-11-13 14:00:18,2018-11-13 14:00:23,1.0
409,2018-11-13 14:00:23,2018-11-13 14:00:28,1.0
410,2018-11-13 14:00:28,2018-11-13 14:00:33,1.0
411,2018-11-13 14:00:33,2018-11-13 14:00:38,1.0
412,2018-11-13 14:00:38,2018-11-13 14:00:43,1.0
413,2018-11-13 14:00:43,2018-11-13 14:00:48,1.0
414,2018-11-13 14:00:48,2018-11-13 14:00:53,1.0
415,2018-11-13 14:00:53,2018-11-13 14:00:58,1.0
416,2018-11-13 14:00:58,2018-11-13 14:01:03,1.0
417,2018-11-13 14:01:03,2018-11-13 14:01:08,1.0
418,2018-11-13 14:01:08,2018-11-13 14:01:13,1.0
419,2018-11-13 14:01:13,2018-11-13 14:01:18,1.0
420,2018-11-13 14:01:18,2018-11-13 14:01:23,1.0
421,2018-11-13 14:01:23,2018-11-13 14:01:28,1.0
422,2018-11-13 14:01:28,2018-11-13 14:01:33,1.0
423,2018-11-13 14:01:33,2018-11-13 14:01:38,1.0
424,2018-11-13 14:01:38,2018-11-13 14:01:43,1.0
425,2018-11-13 14:01:43,2018-11-13 14:01:48,1.0
426,2018-11-13 14:01:48,2018-11-13 14:01:53,1.0
427,2018-11-13 14:01:53,2018-11-13 14:01:58,1.0
428,2018-11-13 14:01:58,2018-11-13 14:02:03,1.0
429,2018-11-13 14:02:03,2018-11-13 14:02:08,1.0
430,2018-11-13 14:02:08,2018-11-13 14:02:13,1.0
